Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2020.01.01;KarriereCoach, karrierecoach;52;0;52;4781;3;;;;;;;;;;;;;;;;;;;;;
2020.01.01;SLETTES FDF Viby J, slettes-fdfvibyj;139;0;139;32215;38;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Roskilde TeamGym, gymdanmark-roskildeteamgym;3282;0;3282;38035;580;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vejle 3, fdfvejle3;267;0;267;112000;71;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF K 27 Lundehus Sogn, fdfk27lundehussogn;0;0;0;37325;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Aarhus MTB, aarhus-mtb;514;0;514;31195;57;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Esbjerg Skolebio, esbjergskolebio;139;0;139;20680;1000;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Gladsaxe Brass Band, fdfgladsaxebrassband;0;0;0;52200;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Filmklubben Hanen & Hønen, filmklubben-hanen-hoene;708;348;360;7275;197;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Baderiget Marselisborg, slettes-badeklubbenmarseli;5004;5004;0;217878;311;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Gudbjerg og Omegns Jagtforening, gudbjergjagt;573;0;573;42150;46;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Golflogen, golflogen;409;66;343;23900;54;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Filmklubben Oskar, filmklubben-oskar-glumsoe;600;600;0;12000;103;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Ringkøbing, fdfringkoebing;0;0;0;250;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Ringkøbing-Skjern Medborgerhus, medborgerhuset;838;0;838;14110;140;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Flexbillet ApS, flexbillet;0;0;0;0;102;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vilstrup, fdfvilstrup;0;0;0;24700;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;SLETTES - Hornslet Løb & MTB, sletteshornsletloebm;707;0;707;22825;234;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Rikke, rikke;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Akademisk Kor Århus, akademisk-kor-aarhus;2654;0;2654;48075;503;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Børnefilmklubben Popcorner, popcorner;4649;2448;2201;136722;744;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Overlund, fdfoverlund;0;0;0;62700;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Bolbro, gymdanmark-bolbro;1538;0;1538;75555;462;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Aabenraa Børne- og Ungdomsfilmklub, aabuf;6;6;0;140;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Hardsyssel Efterskole, hardsyssel-efterskole;68;0;68;6000;4;;;;;;;;;;;;;;;;;;;;;
2020.01.01;GymHelsinge, gymhelsinge;1157;0;1157;82985;86;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Spørring-Trige Gruppe, spoerring-trigegruppe;44;0;44;5300;16;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Sct. Johannes Gruppe - Herning, sctjohannesgruppe-;135;0;135;7770;33;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Gadstrup-Snoldelev, fdfgadstrupsnoldelev;0;0;0;28440;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Esbjerg, kod-esbjerg;803;0;803;53200;188;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Bryllup.dk, bryllupdk;0;0;0;0;90;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Gråsten, fdfgraasten;0;0;0;31050;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Ellevang-Risskov, fdfellevangrisskov;315;0;315;6520;118;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Elevforeningen ved Musik- og Teaterhøjskolen, glem;79;0;79;2070;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF, fdf;8950;0;8950;3428081;3627;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Hadsten Gruppe, hadstengruppe;42;0;42;1400;37;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Børnebif Vordingborg, boernebif-vordingborg;702;702;0;150;133;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Aalborg, kod-aalborg;1776;0;1776;132550;445;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Landskreds, fdflandskreds;1;1;0;43110;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Business Djursland, businessdjursland;47;0;47;2100;377;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kirstine Balslev - What if We, whatifwe;0;0;0;0;128;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aalborg Søkreds, fdfaalborgsoekreds;0;0;0;28350;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Danmark, kod-den-lukkede;0;0;0;0;698;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danmarks Jægerforbund Kreds 5 Fyn, dj-kreds5;63;0;63;900;12;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hvalsø, fdfhvalsoe;0;0;0;13025;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aarhus 2, fdfaarhus2;409;0;409;36035;152;;;;;;;;;;;;;;;;;;;;;
2020.01.01;4forestillingen, 4forestillingen;270;270;0;3258;66;;;;;;;;;;;;;;;;;;;;;
2020.01.01;The Danish Church in London, danskekirkelondon;1802;0;1802;180857;394;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Virksomhedsteori.dk, virksomhedsteori;234;0;234;24200;8;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Flexminds, fdfflexminds;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Overlade, fdfoverlade;0;0;0;13600;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Fredensvang, fdffredensvang;267;0;267;45000;72;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Brøndby IF Women, brondbyifwomen;962;0;962;11120;967;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Langå, fdflangaa;0;0;0;26970;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;DJ Kreds 4, dj-kreds4;624;0;624;16300;118;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Aarhus Vocal Festival, aavf;9;0;9;151100;88;;;;;;;;;;;;;;;;;;;;;
2020.01.01;VM Dans, vmdans;12609;0;12609;347342;1654;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Et Godt Hundeliv, etgodthundeliv;3503;0;3503;229300;306;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Gladsaxe Børnefilmklub, gladfilm;6;6;0;108;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Arnborg, fdfarnborg;329;0;329;52500;115;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Drive In Banko - Aarhus, driveinbanko;3477;0;3477;133775;314;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Focus & Flow - Bettina Møller Jensen, focusandflow;37;0;37;2097;10;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Hame-gruppen, hame-gruppen;41;0;41;1400;14;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vind, fdfvind;0;0;0;4875;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Holstebro, kod-holstebro;1255;0;1255;114200;294;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Linå/Sejs-Svejbæk, sejs-svejbaek-kirke;373;0;373;6965;621;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hasle-Åbyhøj, fdfhasleaabyhoej;0;0;0;50275;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Odontologisk Forening, odontologiskforening;1534;0;1534;78740;296;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Ovartaci, ovartaci;1130;1130;0;24100;29;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Krigslive, krigslive;1096;0;1096;61660;120;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF K 5, fdfk5dk;15;0;15;20699;5;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Viborg Børne- og Ungdomsfilmklub, viborgfilmklub;5764;5764;0;110664;991;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vejrumbro, fdfvejrumbro;0;0;0;3050;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Farum Gymnastikforening, gymdanmark-farumgymnastik;5128;0;5128;107000;1355;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Laurbjerg, kod-laurbjerg;218;0;218;19100;52;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Ringsted, fdfringsted;0;0;0;47400;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;KFUM-Spejderne i Ikast, ikastspejder;157;0;157;5800;73;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Scandic Regina, scandicregina;178;0;178;5439;21;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Scandic Hvidovre, scandichvidovre;927;0;927;41500;107;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aalborg 8 Nr. Tranders, fdfaalborg8nrtranders;359;0;359;95057;220;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Kværndrup, fdfkvaerndrup;0;0;0;2700;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Ikast, fdfikast;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Norddans, norddans;2954;2954;0;310963;112;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Nykøbing Sjælland, fdfnykoebingsjaelland;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Vejle, kod-vejle;494;0;494;55350;117;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Karlstrup, fdfkarlstrup;0;0;0;4875;4;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Naturstyrelsen, naturstyrelsen;76323;0;76323;5081500;1198;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vodskov, fdfvodskov;0;0;0;30525;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Himmerland, gymdanmark-himmerland;4166;0;4166;92895;1128;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Gudenå Distrikt, gudenaa-distrikt;0;0;0;0;48;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Korsør, fdfkorsoer;0;0;0;8425;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Ballerup Børne- og Ungdomsfilmklub, ballerupbuf;67;0;67;600;54;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Billund, fdfbillund;12;0;12;27100;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Group Bornholm ApS, strikbornholm;2242;0;2242;99360;580;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Royal Stage, royal-stage;215;0;215;55121;194;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Jules - Dedicated To dance, dedicatedtodance;2987;2987;0;248141;161;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Haveselskabet Esbjerg, hs-esbjerg;60;0;60;1900;9;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Odder Skytteforening, odder-skytteforening-slettet;88;88;0;6550;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Brønderslev, kod-broenderslev;406;0;406;40150;97;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Fair Festival, fairfestival;65;0;65;1755;10;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Vesterbro, fdfvesterbro;0;0;0;41425;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF K 25 Brønshøj, fdfk25broenshoej;0;0;0;211600;48;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Grenaa Amatørteater, grenaa-amatoerteater;0;0;0;0;18;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hasseris, fdfhasseris;0;0;0;11850;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;KFUM-Spejdernes Brass Band, kfumbb;18;0;18;4400;8;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Børnenes Filmklub Rønne, boernenes-filmklub-roenne;2328;2328;0;53960;392;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Det Italienske Kulturinstitut, iiccopenaghen;3503;0;3503;311610;904;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Herning, kod-herning;823;0;823;63350;208;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danske Slotsudstillinger ApS, mithjemermitslot;148;0;148;2750;21;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Løvenholm Gods, lovenholm;8039;0;8039;868600;219;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Lunderskov, fdflunderskov;0;0;0;14350;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Roskilde Gruppe, roskildegruppe;201;0;201;25325;659;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Horsens Skolebio, horsensskolebio;8109;0;8109;148460;7180;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aalborg 3 Hobrovejen, fdfaalborg3hobrovejen;0;0;0;7200;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Fredericia 2 Chr. Sogn, fdffredericia2chrsogn;142;0;142;27425;54;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Justdance, justdance;1893;1587;306;162905;152;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Sønderholm-Frejlev, fdfsoenderholmfrejlev;284;0;284;58003;108;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Gl. Rye, fdfglrye;218;0;218;90125;24;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Just Dance Studios - Holstebro, just-dance-studios;219;219;0;29990;14;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Aarhus, kod-aarhus;1398;0;1398;152170;278;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Roskilde , kod-roskilde;246;0;246;27550;57;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danske Børne- og Ungdomsfilmklubber, dabuf;267;0;267;121000;96;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Fredericia Vejlby, fdffredericiavejlby;0;0;0;20525;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Tyrsted-Uth, fdftyrsteduth;218;0;218;59235;242;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Fyns kvindelige litteratursalon, fynskvindeligelit;1517;1236;281;47000;266;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Biersted, fdfbiersted;0;0;0;13475;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Nørre Uttrup, fdfnruttrup;160;0;160;49325;55;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Herning Skolebio, herningskolebio;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Give, fdfgive;263;0;263;66150;326;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Lukket 2024-01-10 11:29:26, atelier-nedlukket;1879;708;1171;113750;180;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Dance Beat Studios, dbs;1080;1080;0;63981;83;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Høje Taastrup, fdfhoejetaastrup;0;0;0;22700;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;GIF-Gymnastik Gladsaxe, gymdanmark-gifgymnastik;3102;0;3102;83005;992;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Serritslev Jagtforening, serritslev-jagtforening;49;0;49;2975;5;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aulum, flexbilletdkfdfdkaulum;0;0;0;45840;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;DJ Kreds 1, dj-kreds1;4430;0;4430;89124;831;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Youth choir Aarhus U, aarhusu;2175;0;2175;35525;371;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kaare Heinsen, kaare;0;0;0;0;8;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danmarks Jægerforbund, dj-kursus;20127;0;20127;1391972;4160;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans København, kod-koebenhavn;70;0;70;4700;16;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Katrine Bonde Danseskole, kbd;1055;1055;0;103370;10;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Lystrup Svømning, lifsvoem;29666;21816;7850;2841260;3108;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Haveselskabet, Nordvestjylland afd., hs-nordvestjy;198;0;198;2775;35;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hjortshøj, fdfhjortshoej;333;0;333;122225;184;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Strandskaden, strandskaden---natur--og-kulturformi;217;0;217;3550;38;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Herning Nord, fdfherningnord;0;0;0;40609;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Viborg, gymdanmark-viborg;3254;0;3254;219110;990;;;;;;;;;;;;;;;;;;;;;
2020.01.01;CUBE Networking, cubenetworking;129;0;129;4110;206;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Skanderborg-Stilling, fdfskanderborgstilling;0;0;0;29350;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;KFUM-spejderne Kaløvig Gruppe, kaloevigkfum;468;0;468;66350;207;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Gråbrødre/Odense Gruppe, graabroedreodensegruppe;35;0;35;4500;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danske Ølentusiaster, aledk;18728;0;18728;919595;2946;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Rødovre 1, fdfrodovre1;0;0;0;14225;12;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Hadsund Børnefilmklub, hadsund-boernefilmklub;1686;1686;0;26304;312;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Aarhus Ungdom, kod-aarhus-ungdom;520;0;520;39050;116;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Epos Elevforening, eposelevforening;378;378;0;4000;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Aabybro, kod-aabybro;605;0;605;69120;144;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aalborg 9, fdfaalborg9;9;0;9;38250;6;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Fredericia Søndermarken, fdffredericiasoenderm;0;0;0;8600;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Hjørring, kod-hjoerring;287;0;287;34050;66;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Scandic Bygholm Park, scandicbygholmpark;357;0;357;26488;44;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Aars, fdfaars;0;0;0;57700;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Benløse, fdfbenloese;523;0;523;56935;165;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Filmklubben BUF, buf;8544;8544;0;286310;1472;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danmarks Jægerforbund, dj-aktiviteter;8377;0;8377;287371;2037;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og Dans Randers, kod-randers;162;0;162;15050;68;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Mollerup Golf Club, mollerup;1607;0;1607;33190;264;;;;;;;;;;;;;;;;;;;;;
2020.01.01;JK Shipping, jkshipping;79797;0;79797;1206485;23949;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Brenderup-Harndrup, fdfbrenderupharndrup;0;0;0;46220;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og dans Ringkøbing, kod-ringkoebing;242;0;242;31350;57;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Linkedinsider, linkedinsider;7;0;7;1104;16;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Tommerup St., fdftommerupst;0;0;0;23525;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Filosofilærerforeningen for Gymnasium og HF, filos;1910;396;1514;186000;69;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Vor Frelsers Kirke, vorfrelserkirkebrugesikke;0;0;0;0;390;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Danske Ølentusiaster, ale;4;0;4;22000;188;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hendriksholm, fdfhendriksholm;151;0;151;49225;79;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Skanderborg Børnefilmklub, skanderborg-boernefilmk;1356;1356;0;22500;230;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Silkeborg 1. kreds, fdfsilkeborg1;807;0;807;225825;206;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Randers gymnastiske Forening, gymdanmark-rgf;6477;0;6477;146205;1674;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF F 4, fdff4;679;0;679;128100;208;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Esbjerg 1 Sædding, fdfesbjerg1saedding;0;0;0;21925;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Kom og dans Svendborg, kod-svendborg;504;0;504;63725;120;;;;;;;;;;;;;;;;;;;;;
2020.01.01;BarbAros, barbaros;1725;0;1725;21725;308;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Hundige, fdfhundige;0;0;0;17450;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Silkeborg 2, fdfsilkeborg2;263;0;263;88975;101;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Lisbjerg Fritidsliv, lisbjerg-fritidsliv;1398;1398;0;103860;178;;;;;;;;;;;;;;;;;;;;;
2020.01.01;De Danske Danseskoler, ddd;95460;3384;92076;1397340;16202;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Frichsparkens Erhvervsklub, frichsparken;0;0;0;0;26;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Lemvig Børne- og Ungdomsfilmklub, lemvig-boerne-og;1638;1638;0;43151;277;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Struer, fdfstruer;0;0;0;17315;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;GymHelsinge, gymdanmark-gymhelsinge;2663;0;2663;98125;760;;;;;;;;;;;;;;;;;;;;;
2020.01.01;SAGACITY, sagacity;504;0;504;47575;25;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Thisted 1. kreds, fdfthisted1;0;0;0;76250;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Amagerbro, fdfamagerbro;75;0;75;23675;27;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Restaurant Gäst, scandicthemayor;180;0;180;9388;24;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Sædden Kirke, saeddenkirke;0;0;0;0;1004;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Sorgenfri Kirke, sorgenfrikirkedk;1999;372;1627;33500;1225;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF K 9 Nørrebro, fdfk9;543;0;543;92285;182;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Frederikshavn Badminton, fbk;1042;1042;0;102500;92;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Anders Kobberup, akobberup;278;0;278;58;58;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Havdrup, fdfhavdrup;92;0;92;18350;208;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Fjeld Skov, fjeldskov-jagt;8673;0;8673;969215;184;;;;;;;;;;;;;;;;;;;;;
2020.01.01;København Håndbold A/S, kbhbolddk;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Suldrup, fdfsuldrup;0;0;0;15710;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Hjerte rimer på smerte, hjerterimerpaasmerte;358;0;358;10200;51;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Marselis Distrikt, marselis-distrikt;4;0;4;400;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Bryrup, fdfbryrup;0;0;0;26400;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;UdeskoleNet, udeskolenet;513;346;167;19320;93;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Visse, fdfvisse;110;0;110;4500;0;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Home Opera, homeopera;470;0;470;26825;50;;;;;;;;;;;;;;;;;;;;;
2020.01.01;FDF Landsdel 8, fdflandsdel8;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Slagelse Børnefilmklub, sbif;1368;1368;0;37058;233;;;;;;;;;;;;;;;;;;;;;
2020.01.01;Bredstrup-Pjedsted-Revyen, bredstrup-pjedsted-revy;742;0;742;25490;109;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF Vesterbro, fdfvesterbro;121;0;121;33600;39;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Haveselskabet, cphgarden;68436;0;68436;1455725;24896;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF Frederikshavn 1, fdffrederikshavn1;480;0;480;78817;251;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Kom og Dans Haderslev, kod-haderslev;0;0;0;0;13;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF Ørslev-Vordingborg, fdforslevvordingborg;528;0;528;41580;257;;;;;;;;;;;;;;;;;;;;;
2019.01.01;KFUM-Spejderne Søndersø , sonderso-gruppe;180;0;180;8815;117;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Filmklubben Hanen & Hønen, filmklubben-hanen-hoene;450;450;0;8880;75;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Farum Gymnastikforening, gymdanmark-farumgymnastik;4571;0;4571;119785;1491;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF Hobro, fdfhobro;104;0;104;15400;32;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Foreningen Faaborg Museums Venner, faaborgmuseum;3037;1398;1639;94800;512;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF Silkeborg 1. kreds, fdfsilkeborg1;1371;0;1371;237025;440;;;;;;;;;;;;;;;;;;;;;
2019.01.01;FDF K 5, fdfk5dk;191;0;191;19975;58;;;;;;;;;;;;;;;;;;;;;
2019.01.01;GIF-Gymnastik Gladsaxe, gymdanmark-gifgymnastik;2433;0;2433;64165;780;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Youth choir Aarhus U, aarhusu;2239;0;2239;24300;405;;;;;;;;;;;;;;;;;;;;;
2019.01.01;Virksomhedsteori.dk, virksomhedsteori;1196;0;1196;121700;47;;;;;;;;;;;;;;;;;;;;;
