Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Groove med Rikke, groovemedrikke;6228;0;6228;137061;555;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Højskolen på Sicilien, hoejskolen-paa-sicilien;2710;0;2710;132300;10;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Farum Gymnastikforening, gymdanmark-farumgymnastik;27965;0;27965;292595;2361;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Naturstyrelsen Blåvandshuk, nst-blaavandshuk;3093;0;3093;118280;548;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Århus Børnefilm, aarhusboernefilm;72;72;0;800;8;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Videncenter for Folkeoplysning, vifo;0;0;0;0;107;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filmklubben Oskar, filmklubben-oskar-glumsoe;10;10;0;150;36;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dante Alighieri Odense, dante-odense;1045;267;778;12350;125;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Slagelse Børnefilmklub, sbif;10;10;0;120;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Roskilde , kod-roskilde;943;0;943;18640;46;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Jægerforbund, dj-aktiviteter;44279;0;44279;730846;3547;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aabybro GF, gymdanmark-aabybrogf;29668;0;29668;298130;2570;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danske Ølentusiaster, aledk;110918;0;110918;2125355;7359;;;;;;;;;;;;;;;;;;;;;
2025.01.01;ps., ps-com;0;0;0;0;57;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hældager, haeldager;9;9;0;0;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Race Club by Møller Madsen, raceclub;18;0;18;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Randers gymnastiske Forening, gymdanmark-rgf;50343;0;50343;706465;5421;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Viborg Børne- og Ungdomsfilmklub, viborgfilmklub;19;19;0;290;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Light4Blue, light4blue;1567;1157;410;11100;7;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Haveselskabet Hjørring, haveselskabet-hjoerring;613;0;613;24962;44;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Nyborg børne og ungdomsfilmklub, nyborg-boerne-og-;9;9;0;244;220;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Tid til tur, tidtiltur;0;0;0;0;437;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Boldklubben 1913, boldklubben1913;1489;1489;0;26268;34;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ovartaci, ovartaci;7383;2823;4560;91575;469;;;;;;;;;;;;;;;;;;;;;
2025.01.01;WondAros, wondaroschorus;1845;0;1845;18925;202;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Aabybro, kod-aabybro;1175;0;1175;21570;60;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Movementum, movementum;4407;0;4407;124200;20;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dante Alighieri Aarhus, dante-alighieri-aarhus;8364;2167;6197;177370;227;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Socialdemokratiet i Haderslev Kommune, socialdemok;9;9;0;0;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hedensted Kommune, hedenstedkommune-ff;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og dans Svendborg, kod-svendborg;2506;0;2506;51200;88;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Aalborg, kod-aalborg;4339;0;4339;89550;146;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Veteranposten, veteranposten;20353;0;20353;188525;1722;;;;;;;;;;;;;;;;;;;;;
2025.01.01;UdeskoleNet, udeskolenet;1788;809;979;27380;93;;;;;;;;;;;;;;;;;;;;;
2025.01.01;GF Køge Bugt, gymdanmark-koegegym;28686;0;28686;400710;3133;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Svendborg Buejægere 2022, svendborgbuejaegere;822;0;822;15500;40;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Home Opera, homeopera;318;0;318;6500;13;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Provsteforening, provsteforeningen;5274;0;5274;124800;56;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Lystrup Svømning, lifsvoem;140036;121062;18974;3183490;2223;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DJ Kreds 2, dj-kreds2;1046;0;1046;12100;254;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Wonderful Copenhagen, wocoevents;0;0;0;0;1337;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Bråskovgård Efterskole, bge;934;0;934;9000;123;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Business Randers, businessranders;18;18;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aabenraa Børne- og Ungdomsfilmklub, aabuf;60;60;0;900;6;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aarhus Kommune, MTM Personaleforening, aarhuskommu;4188;0;4188;70500;235;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Tisvilde Jazz Club, tisvildejazzclub;5628;612;5016;113700;218;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Scandic Aarhus City, scandicaarhuscity;355;0;355;9175;25;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Tinget, slagmarkfyn;2335;0;2335;47595;82;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Lisbjerg Fritidsliv, lisbjerg-fritidsliv;1958;1958;0;33577;129;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DUF – Dansk Ungdoms Fællesråd, duf;11756;0;11756;290700;871;;;;;;;;;;;;;;;;;;;;;
